"day","temp_min","temp_avg","temp_max","temp_diff","precip_mm","month","year"
"1","15.9","21.0","26.8","+1.9","1.9",7,2004
"2","14.8","19.6","25.6","+0.4","17.1",7,2004
"3","11.1","14.8","19.1","-4.4","10.1",7,2004
"4","10.5","12.4","15.0","-6.9","4.3",7,2004
"5","7.4","11.4","14.9","-8.0","10.7",7,2004
"6","8.4","11.9","17.4","-7.6","2.3",7,2004
"7","11.8","15.9","20.3","-3.6","4.5",7,2004
"8","12.9","18.3","23.1","-1.3","6.5",7,2004
"9","11.7","16.4","23.1","-3.2","25.3",7,2004
"10","16.0","19.1","24.2","-0.5","0.3",7,2004
"11","16.0","21.0","25.5","+1.3","2.6",7,2004
"12","15.0","20.2","25.5","+0.5","0.6",7,2004
"13","14.8","20.0","24.6","+0.3","0.0",7,2004
"14","13.6","20.1","25.8","+0.4","0.0",7,2004
"15","13.0","20.8","26.8","+1.1","1.9",7,2004
"16","15.0","20.6","26.8","+0.9","0.0",7,2004
"17","13.6","21.1","27.6","+1.4","0.0",7,2004
"18","15.3","21.0","26.3","+1.4","0.0",7,2004
"19","13.2","17.4","23.6","-2.2","4.7",7,2004
"20","13.2","17.1","22.3","-2.5","0.3",7,2004
"21","14.0","15.4","22.5","-4.1","7.6",7,2004
"22","14.2","17.1","22.3","-2.4","1.5",7,2004
"23","13.0","19.7","24.7","+0.3","1.3",7,2004
"24","12.2","19.4","26.0","0.0","0.0",7,2004
"25","11.6","18.7","23.0","-0.6","0.0",7,2004
"26","11.3","18.8","25.3","-0.4","0.0",7,2004
"27","11.6","19.5","26.3","+0.4","0.0",7,2004
"28","12.8","19.4","26.1","+0.4","0.0",7,2004
"29","16.0","20.6","25.2","+1.7","0.0",7,2004
"30","14.4","19.5","24.6","+0.7","0.0",7,2004
"31","13.2","18.3","24.4","-0.4","0.0",7,2004
