"day","temp_min","temp_avg","temp_max","temp_diff","precip_mm","month","year"
"1","-18.2","-17.3","-15.6","-1.3","0.0",1,2013
"2","-27.7","-20.4","-14.0","-4.3","0.0",1,2013
"3","-20.3","-14.2","-8.8","+1.9","0.0",1,2013
"4","-21.5","-17.9","-12.6","-1.7","0.0",1,2013
"5","-20.9","-18.6","-15.8","-2.3","0.0",1,2013
"6","-24.2","-18.6","-15.6","-2.3","0.4",1,2013
"7","-25.6","-22.0","-18.1","-5.6","1.0",1,2013
"8","-30.0","-26.3","-18.6","-9.9","0.9",1,2013
"9","-33.7","-30.8","-27.1","-14.4","0.0",1,2013
"10","-32.6","-20.3","-9.5","-3.8","0.0",1,2013
"11","-23.4","-18.4","-9.1","-1.9","0.7",1,2013
"12","-27.7","-22.1","-14.7","-5.5","0.0",1,2013
"13","-15.9","-9.3","-6.0","+7.3","2.8",1,2013
"14","-16.9","-11.8","-7.6","+4.8","0.0",1,2013
"15","-7.6","-4.4","-3.1","+12.2","0.9",1,2013
"16","-12.0","-7.9","-3.4","+8.7","1.3",1,2013
"17","-20.0","-16.2","-12.0","+0.5","0.7",1,2013
"18","-24.5","-20.9","-15.7","-4.2","0.4",1,2013
"19","-24.7","-20.1","-16.6","-3.4","1.8",1,2013
"20","-21.2","-17.9","-14.6","-1.2","1.0",1,2013
"21","-23.0","-15.7","-8.3","+1.0","3.6",1,2013
"22","-18.0","-14.0","-10.7","+2.7","0.4",1,2013
"23","-11.7","-5.2","-1.3","+11.5","0.9",1,2013
"24","-11.2","-5.1","-0.9","+11.6","0.6",1,2013
"25","-16.0","-8.2","1.0","+8.4","7.0",1,2013
"26","0.0","1.1","1.9","+17.7","1.0",1,2013
"27","-16.7","-12.2","0.8","+4.4","0.0",1,2013
"28","-25.6","-22.9","-16.7","-6.3","0.2",1,2013
"29","-30.0","-26.7","-21.5","-10.2","0.0",1,2013
"30","-22.5","-20.4","-17.3","-3.9","0.4",1,2013
"31","-23.1","-19.8","-15.9","-3.3","0.5",1,2013
