"day","temp_min","temp_avg","temp_max","temp_diff","precip_mm","month","year"
"1","-6.6","-5.7","-4.9","+10.3","2.0",1,2017
"2","-6.6","-5.7","-4.2","+10.4","2.0",1,2017
"3","-5.9","-4.6","-3.9","+11.5","0.8",1,2017
"4","-4.8","-2.5","-1.5","+13.7","1.0",1,2017
"5","-2.0","-1.3","-0.8","+15.0","0.0",1,2017
"6","-17.9","-6.8","-1.2","+9.5","0.0",1,2017
"7","-26.8","-22.0","-15.2","-5.6","0.0",1,2017
"8","-15.2","-9.2","-5.1","+7.2","4.2",1,2017
"9","-15.3","-7.3","-4.8","+9.1","2.6",1,2017
"10","-29.2","-22.9","-15.3","-6.4","0.0",1,2017
"11","-23.1","-15.7","-10.6","+0.8","0.0",1,2017
"12","-15.5","-12.9","-11.4","+3.7","0.8",1,2017
"13","-23.9","-18.0","-13.0","-1.4","1.8",1,2017
"14","-27.5","-19.9","-14.0","-3.3","1.5",1,2017
"15","-29.5","-24.6","-14.3","-8.0","0.3",1,2017
"16","-27.0","-22.0","-18.4","-5.4","0.7",1,2017
"17","-24.5","-21.4","-17.6","-4.7","0.0",1,2017
"18","-23.4","-19.9","-17.6","-3.2","0.2",1,2017
"19","-23.1","-20.0","-18.4","-3.3","0.2",1,2017
"20","-24.7","-17.7","-10.9","-1.0","0.2",1,2017
"21","-11.0","-7.9","-6.3","+8.8","1.2",1,2017
"22","-8.9","-7.6","-6.2","+9.1","0.5",1,2017
"23","-10.6","-6.0","-1.2","+10.7","0.6",1,2017
"24","-13.2","-10.2","-1.2","+6.5","0.3",1,2017
"25","-13.6","-11.6","-9.0","+5.0","0.5",1,2017
"26","-20.5","-12.2","-6.9","+4.4","2.0",1,2017
"27","-31.9","-26.0","-17.6","-9.4","0.0",1,2017
"28","-26.2","-22.1","-13.6","-5.5","0.0",1,2017
"29","-29.3","-24.2","-15.7","-7.7","0.0",1,2017
"30","-24.5","-20.6","-15.6","-4.1","0.0",1,2017
"31","-22.2","-18.0","-14.3","-1.5","0.0",1,2017
