"day","temp_min","temp_avg","temp_max","temp_diff","precip_mm","month","year"
"1","-3.5","-0.6","2.2","+2.4","0.0",4,2010
"2","-5.3","-0.4","2.0","+2.2","0.5",4,2010
"3","-4.1","-0.6","2.6","+1.6","0.0",4,2010
"4","-5.3","-0.4","3.2","+1.4","1.4",4,2010
"5","-0.1","1.4","3.2","+2.8","3.0",4,2010
"6","-7.5","-4.2","1.4","-3.2","0.0",4,2010
"7","-14.3","-9.3","-2.9","-8.7","0.0",4,2010
"8","-13.1","-7.4","-1.8","-7.2","0.0",4,2010
"9","-16.5","-8.4","-1.9","-8.5","0.0",4,2010
"10","-16.6","-8.8","-1.6","-9.3","0.0",4,2010
"11","-15.5","-7.4","-0.1","-8.3","0.0",4,2010
"12","-5.8","-2.5","2.3","-3.8","0.0",4,2010
"13","-8.7","-1.4","7.4","-3.0","0.0",4,2010
"14","0.2","2.9","6.2","+0.9","0.6",4,2010
"15","-5.6","0.0","5.4","-2.3","0.0",4,2010
"16","0.5","2.0","5.1","-0.7","29.5",4,2010
"17","-4.2","2.5","7.7","-0.5","0.0",4,2010
"18","-2.7","1.7","7.1","-1.6","0.0",4,2010
"19","-0.7","3.8","7.9","+0.1","0.0",4,2010
"20","2.1","6.2","13.2","+2.2","9.0",4,2010
"21","3.2","7.5","12.7","+3.2","0.0",4,2010
"22","0.4","5.8","11.1","+1.2","0.0",4,2010
"23","2.7","5.9","10.0","+1.0","0.0",4,2010
"24","-1.9","5.6","14.4","+0.4","0.0",4,2010
"25","2.5","10.1","21.1","+4.6","0.0",4,2010
"26","1.9","13.0","24.4","+7.2","0.0",4,2010
"27","3.3","15.9","26.8","+9.8","0.0",4,2010
"28","9.6","16.5","24.7","+10.1","0.0",4,2010
"29","2.5","11.9","23.3","+5.2","2.7",4,2010
"30","2.5","5.8","13.5","-1.1","3.2",4,2010
