"day","temp_min","temp_avg","temp_max","temp_diff","precip_mm","month","year"
"1","17.4","23.1","28.7","+3.5","0.0",7,2006
"2","18.5","24.0","29.4","+4.3","0.0",7,2006
"3","16.8","24.3","30.3","+4.6","0.0",7,2006
"4","16.0","19.0","27.2","-0.8","3.3",7,2006
"5","9.3","15.4","19.7","-4.4","0.0",7,2006
"6","7.9","15.3","21.4","-4.5","0.0",7,2006
"7","12.9","18.1","26.3","-1.8","0.3",7,2006
"8","10.9","12.8","18.2","-7.1","0.0",7,2006
"9","9.3","11.1","13.1","-8.8","2.8",7,2006
"10","10.5","12.8","15.9","-7.1","5.2",7,2006
"11","12.6","16.0","20.1","-3.9","0.7",7,2006
"12","16.1","20.1","25.0","+0.2","0.0",7,2006
"13","13.9","21.7","27.9","+1.8","0.0",7,2006
"14","16.3","23.6","29.6","+3.7","0.0",7,2006
"15","15.5","23.7","29.9","+3.9","0.0",7,2006
"16","18.1","21.5","26.3","+1.7","1.5",7,2006
"17","14.2","18.7","26.8","-1.1","19.1",7,2006
"18","16.9","22.7","28.2","+2.9","0.0",7,2006
"19","17.0","23.8","29.6","+4.1","0.0",7,2006
"20","17.0","24.1","29.8","+4.4","0.0",7,2006
"21","16.2","24.9","32.3","+5.3","0.0",7,2006
"22","20.3","24.0","27.6","+4.4","0.0",7,2006
"23","11.4","14.6","23.2","-4.9","0.6",7,2006
"24","8.4","11.9","16.2","-7.5","0.9",7,2006
"25","9.3","12.1","15.1","-7.2","1.1",7,2006
"26","7.4","12.0","21.1","-7.3","8.1",7,2006
"27","12.6","14.9","18.6","-4.3","5.6",7,2006
"28","8.4","16.7","25.5","-2.4","0.0",7,2006
"29","12.7","20.3","28.7","+1.3","2.2",7,2006
"30","13.7","16.7","21.8","-2.2","0.0",7,2006
"31","11.1","15.7","21.3","-3.1","0.7",7,2006
