"day","temp_min","temp_avg","temp_max","temp_diff","precip_mm","month","year"
"1","-20.2","-12.2","-6.1","-0.1","0.0",3,2011
"2","-19.3","-13.9","-7.0","-2.1","0.0",3,2011
"3","-19.8","-16.0","-10.6","-4.4","0.0",3,2011
"4","-22.0","-17.9","-12.4","-6.6","0.0",3,2011
"5","-23.5","-18.3","-12.3","-7.3","0.0",3,2011
"6","-20.1","-15.7","-12.0","-5.0","0.0",3,2011
"7","-12.6","-3.1","0.8","+7.3","2.0",3,2011
"8","-7.0","-2.5","1.1","+7.6","0.0",3,2011
"9","-7.8","-4.2","-0.2","+5.5","1.5",3,2011
"10","-10.0","-8.1","-6.0","+1.3","0.2",3,2011
"11","-16.3","-11.4","-6.2","-2.3","0.0",3,2011
"12","-14.8","-10.1","-5.1","-1.3","0.2",3,2011
"13","-12.7","-9.2","-5.1","-0.7","0.0",3,2011
"14","-9.7","-7.3","-3.9","+0.8","0.0",3,2011
"15","-8.3","-6.1","-3.2","+1.7","9.3",3,2011
"16","-8.7","-5.5","-3.2","+1.9","3.0",3,2011
"17","-9.4","-5.4","-2.3","+1.7","2.0",3,2011
"18","-14.9","-9.6","-5.2","-2.8","0.0",3,2011
"19","-19.0","-9.4","-0.6","-3.0","0.0",3,2011
"20","-13.4","-5.9","0.6","+0.2","0.0",3,2011
"21","-14.6","-5.6","2.7","+0.1","0.0",3,2011
"22","-15.3","-6.0","0.6","-0.7","0.0",3,2011
"23","-13.8","-8.3","-4.0","-3.3","0.0",3,2011
"24","-7.9","-4.2","0.3","+0.4","0.0",3,2011
"25","-1.6","0.6","3.3","+4.8","2.4",3,2011
"26","-2.8","-0.3","2.2","+3.6","0.4",3,2011
"27","-7.1","-3.6","-0.4","-0.1","0.6",3,2011
"28","-6.9","-3.8","2.2","-0.7","1.4",3,2011
"29","-11.3","-6.4","-0.8","-3.7","0.0",3,2011
"30","-13.0","-6.1","-0.9","-3.8","0.0",3,2011
"31","-4.9","-2.0","0.7","-0.1","2.5",3,2011
