"day","temp_min","temp_avg","temp_max","temp_diff","precip_mm","month","year"
"1","-16.8","-12.2","-10.0","+3.4","0.0",1,2013
"2","-19.0","-16.6","-13.4","-0.9","0.0",1,2013
"3","-26.1","-21.2","-17.3","-5.4","0.0",1,2013
"4","-21.2","-18.2","-14.5","-2.4","0.4",1,2013
"5","-24.2","-19.1","-14.6","-3.2","0.6",1,2013
"6","-32.0","-27.6","-24.0","-11.6","0.0",1,2013
"7","-29.0","-26.2","-22.9","-10.2","0.0",1,2013
"8","-25.7","-23.6","-21.0","-7.5","0.2",1,2013
"9","-27.3","-23.3","-19.8","-7.2","0.2",1,2013
"10","-20.1","-17.1","-16.0","-0.9","2.2",1,2013
"11","-27.8","-22.4","-17.2","-6.2","0.0",1,2013
"12","-19.0","-15.7","-14.0","+0.6","1.4",1,2013
"13","-21.7","-17.6","-13.6","-1.3","0.0",1,2013
"14","-20.2","-13.6","-8.6","+2.8","2.9",1,2013
"15","-20.9","-15.1","-10.1","+1.3","0.3",1,2013
"16","-22.0","-20.4","-18.7","-4.0","0.0",1,2013
"17","-25.4","-22.8","-20.2","-6.3","0.9",1,2013
"18","-31.0","-26.1","-19.5","-9.6","0.5",1,2013
"19","-19.6","-17.3","-15.4","-0.8","1.5",1,2013
"20","-21.9","-17.0","-12.4","-0.5","0.8",1,2013
"21","-21.9","-14.9","-10.0","+1.6","1.0",1,2013
"22","-16.0","-9.3","-5.1","+7.2","0.0",1,2013
"23","-9.2","-4.1","-1.6","+12.5","4.6",1,2013
"24","-18.6","-15.1","-8.9","+1.5","0.0",1,2013
"25","-17.3","-10.6","-8.0","+6.0","0.8",1,2013
"26","-14.9","-8.9","0.3","+7.7","5.1",1,2013
"27","-24.2","-20.9","-14.8","-4.3","0.0",1,2013
"28","-29.1","-25.2","-21.7","-8.7","0.2",1,2013
"29","-27.2","-22.4","-16.3","-5.9","1.0",1,2013
"30","-20.5","-16.0","-11.4","+0.5","1.2",1,2013
"31","-18.8","-12.3","-7.6","+4.2","0.2",1,2013
