"day","temp_min","temp_avg","temp_max","temp_diff","precip_mm","month","year"
"1","15.0","21.9","28.4","+8.5","0.0",9,2008
"2","16.2","19.4","24.0","+6.2","0.0",9,2008
"3","8.1","12.3","17.0","-0.7","0.4",9,2008
"4","5.0","9.6","14.2","-3.2","0.0",9,2008
"5","1.5","7.8","13.6","-4.8","0.0",9,2008
"6","2.2","9.2","16.6","-3.1","0.0",9,2008
"7","1.7","11.3","19.4","-0.8","0.0",9,2008
"8","11.7","12.9","16.0","+1.0","13.6",9,2008
"9","10.3","11.8","14.3","+0.1","10.8",9,2008
"10","6.8","9.8","14.2","-1.7","14.3",9,2008
"11","7.6","10.0","13.6","-1.3","0.0",9,2008
"12","2.7","7.8","13.2","-3.2","0.0",9,2008
"13","5.7","9.6","13.2","-1.2","0.0",9,2008
"14","5.4","10.5","16.0","-0.1","0.0",9,2008
"15","5.0","8.4","11.6","-2.0","0.5",9,2008
"16","-1.4","4.3","8.4","-5.9","0.0",9,2008
"17","1.7","3.8","6.5","-6.2","7.5",9,2008
"18","1.9","4.1","6.7","-5.7","0.2",9,2008
"19","3.1","5.5","7.9","-4.0","0.6",9,2008
"20","4.4","6.0","7.4","-3.3","3.4",9,2008
"21","4.5","7.5","11.6","-1.6","0.1",9,2008
"22","4.5","6.5","8.6","-2.4","0.0",9,2008
"23","4.5","7.0","10.0","-1.7","0.0",9,2008
"24","0.7","7.0","12.3","-1.5","0.0",9,2008
"25","0.4","5.7","13.7","-2.6","0.0",9,2008
"26","5.2","7.9","11.4","-0.2","0.0",9,2008
"27","5.5","7.3","10.7","-0.5","0.0",9,2008
"28","1.9","3.6","6.9","-4.0","0.2",9,2008
"29","-0.6","2.4","6.4","-5.0","0.1",9,2008
"30","-0.3","5.2","12.4","-2.0","0.0",9,2008
