"day","temp_min","temp_avg","temp_max","temp_diff","precip_mm","month","year"
"1","10.0","16.3","21.5","-3.2","0.0",7,2017
"2","14.0","19.5","25.2","0.0","12.0",7,2017
"3","16.2","21.5","27.1","+2.0","17.0",7,2017
"4","16.4","20.4","24.8","+0.9","0.0",7,2017
"5","13.6","17.3","21.3","-2.2","0.0",7,2017
"6","13.0","17.5","23.3","-2.0","9.0",7,2017
"7","14.4","17.1","19.4","-2.4","2.3",7,2017
"8","11.2","17.8","23.1","-1.7","0.0",7,2017
"9","15.3","18.2","21.9","-1.3","0.4",7,2017
"10","11.8","16.9","22.4","-2.6","1.6",7,2017
"11","10.1","16.3","22.0","-3.1","0.0",7,2017
"12","13.1","18.2","22.8","-1.2","0.0",7,2017
"13","10.1","17.9","24.3","-1.5","0.0",7,2017
"14","10.3","16.2","26.0","-3.2","11.0",7,2017
"15","11.3","17.7","24.5","-1.7","25.0",7,2017
"16","10.9","19.1","25.8","-0.3","5.0",7,2017
"17","12.7","19.8","25.5","+0.5","0.8",7,2017
"18","13.1","19.2","25.2","-0.1","0.0",7,2017
"19","12.0","19.4","26.0","+0.1","0.0",7,2017
"20","14.2","21.7","28.2","+2.4","0.0",7,2017
"21","14.3","21.7","27.8","+2.5","0.0",7,2017
"22","16.5","20.4","26.0","+1.2","18.0",7,2017
"23","13.6","19.5","24.6","+0.3","3.0",7,2017
"24","12.7","19.3","26.1","+0.2","0.0",7,2017
"25","13.5","18.8","23.7","-0.3","15.0",7,2017
"26","14.0","18.2","21.8","-0.9","0.3",7,2017
"27","13.1","16.2","22.4","-2.8","9.0",7,2017
"28","13.2","20.3","26.8","+1.3","0.0",7,2017
"29","16.6","22.3","28.1","+3.4","0.0",7,2017
"30","15.3","21.8","27.4","+2.9","0.0",7,2017
"31","14.2","21.3","27.4","+2.4","0.0",7,2017
